Symbol,ATR_%,ADX,Trend_Divergence_%,Gap_Freq_%,Avg_Volume,Volatility,Trend,Liquidity,Generated_At
360ONE.NS,3.16,,0.49,12.9,1226187.0,High,Sideways,Excellent,2026-07-18 07:04:46
ABB.NS,3.03,,15.9,9.2,405496.0,High,Uptrend,Good,2026-07-18 07:04:46
APLAPOLLO.NS,2.08,,-3.43,11.24,565724.0,High,Sideways,Good,2026-07-18 07:04:46
AUBANK.NS,2.28,,5.89,13.25,2055720.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ADANIENSOL.NS,3.56,,31.55,15.66,2528815.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ADANIENT.NS,2.74,,21.95,12.8,1946995.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ADANIGREEN.NS,3.66,,30.88,16.8,2633095.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ADANIPORTS.NS,2.12,,15.91,14.8,1755233.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ADANIPOWER.NS,3.17,,29.61,18.8,29981629.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ATGL.NS,3.38,,15.57,14.86,2117514.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ABCAPITAL.NS,2.7,,7.92,13.65,4689546.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ALKEM.NS,2.33,,-0.99,8.84,180884.0,High,Sideways,Good,2026-07-18 07:04:46
AMBUJACEM.NS,2.21,,-12.8,13.65,2739647.0,High,Downtrend,Excellent,2026-07-18 07:04:46
APOLLOHOSP.NS,1.62,,9.84,9.64,309922.0,Medium,Uptrend,Good,2026-07-18 07:04:46
ASHOKLEY.NS,2.95,,-5.67,19.2,22760824.0,High,Downtrend,Excellent,2026-07-18 07:04:46
ASIANPAINT.NS,1.99,,3.95,14.06,1193338.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
ASTRAL.NS,2.39,,-1.4,13.2,769315.0,High,Sideways,Good,2026-07-18 07:04:46
AUROPHARMA.NS,2.53,,16.37,10.84,1290514.0,High,Uptrend,Excellent,2026-07-18 07:04:46
DMART.NS,2.69,,2.43,11.65,724328.0,High,Sideways,Good,2026-07-18 07:04:46
AXISBANK.NS,2.16,,2.15,12.0,5953502.0,High,Sideways,Excellent,2026-07-18 07:04:46
BSE.NS,3.01,,27.45,19.6,2931601.0,High,Uptrend,Excellent,2026-07-18 07:04:46
BAJAJ-AUTO.NS,2.08,,7.82,11.6,410600.0,High,Uptrend,Good,2026-07-18 07:04:46
BAJFINANCE.NS,2.47,,-1.81,19.68,8658285.0,High,Sideways,Excellent,2026-07-18 07:04:46
BAJAJFINSV.NS,2.51,,-7.1,10.0,1265437.0,High,Downtrend,Excellent,2026-07-18 07:04:46
BAJAJHLDNG.NS,2.98,,-3.8,13.6,54876.0,High,Sideways,Poor,2026-07-18 07:04:46
BANKBARODA.NS,2.57,,-3.8,12.8,12875386.0,High,Sideways,Excellent,2026-07-18 07:04:46
BANKINDIA.NS,3.28,,-0.75,13.65,9273610.0,High,Sideways,Excellent,2026-07-18 07:04:46
BDL.NS,3.0,,-5.82,12.8,1410156.0,High,Downtrend,Excellent,2026-07-18 07:04:46
BEL.NS,1.89,,-1.08,11.2,11300180.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
BHARATFORG.NS,2.81,,21.25,13.65,1323356.0,High,Uptrend,Excellent,2026-07-18 07:04:46
